id,headshot,firstName,lastName,sweaterNumber,positionCode,shootsCatches,heightInInches,weightInPounds,heightInCentimeters,weightInKilograms,birthDate,birthCity,birthCountry,birthStateProvince,team,player_name
8479994,https://assets.nhle.com/mugs/nhl/20242025/WPG/8479994.png,Jaret,Anderson-Dolan,28.0,C,L,71,200,180,91,1999-09-12,{'default': 'Calgary'},CAN,{'default': 'AB'},WPG,Jaret Anderson-Dolan
8478891,https://assets.nhle.com/mugs/nhl/20242025/WPG/8478891.png,Mason,Appleton,22.0,C,R,74,194,188,88,1996-01-15,{'default': 'Green Bay'},USA,{'default': 'WI'},WPG,Mason Appleton
8480289,https://assets.nhle.com/mugs/nhl/20242025/WPG/8480289.png,Morgan,Barron,36.0,C,L,76,220,193,100,1998-12-02,{'default': 'Halifax'},CAN,{'default': 'NS'},WPG,Morgan Barron
8478398,https://assets.nhle.com/mugs/nhl/20242025/WPG/8478398.png,Kyle,Connor,81.0,L,L,73,183,185,83,1996-12-09,{'default': 'Shelby Township'},USA,{'default': 'MI'},WPG,Kyle Connor
8477940,https://assets.nhle.com/mugs/nhl/20242025/WPG/8477940.png,Nikolaj,Ehlers,27.0,L,L,72,172,183,78,1996-02-14,"{'default': 'Aalborg', 'fi': 'Ålborg', 'sv': 'Ålborg'}",DNK,,WPG,Nikolaj Ehlers
8484135,https://assets.nhle.com/mugs/nhl/20242025/WPG/8484135.png,Parker,Ford,73.0,C,R,69,181,175,82,2000-07-20,{'default': 'Wakefield'},USA,{'default': 'RI'},WPG,Parker Ford
8481019,https://assets.nhle.com/mugs/nhl/20242025/WPG/8481019.png,David,Gustafsson,19.0,C,L,74,196,188,89,2000-04-11,{'default': 'Tingsryd'},SWE,,WPG,David Gustafsson
8480113,https://assets.nhle.com/mugs/nhl/20242025/WPG/8480113.png,Alex,Iafallo,9.0,L,L,72,201,183,91,1993-12-21,{'default': 'Eden'},USA,{'default': 'NY'},WPG,Alex Iafallo
8480845,https://assets.nhle.com/mugs/nhl/20242025/WPG/8480845.png,Rasmus,Kupari,15.0,C,R,74,201,188,91,2000-03-15,{'default': 'Kotka'},FIN,,WPG,Rasmus Kupari
8476392,https://assets.nhle.com/mugs/nhl/20242025/WPG/8476392.png,Adam,Lowry,17.0,C,L,77,210,196,95,1993-03-29,{'default': 'St. Louis'},USA,{'default': 'MO'},WPG,Adam Lowry
8476480,https://assets.nhle.com/mugs/nhl/20242025/WPG/8476480.png,Vladislav,Namestnikov,7.0,C,L,72,181,183,82,1992-11-22,"{'default': 'Zhukovskiy', 'cs': 'Žukovskij', 'fi': 'Zhukovski', 'sk': 'Žukovskij'}",RUS,,WPG,Vladislav Namestnikov
8475799,https://assets.nhle.com/mugs/nhl/20242025/WPG/8475799.png,Nino,Niederreiter,62.0,R,L,74,218,188,99,1992-09-08,"{'default': 'Chur', 'fr': 'Coire'}",CHE,,WPG,Nino Niederreiter
8482149,https://assets.nhle.com/mugs/nhl/20242025/WPG/8482149.png,Cole,Perfetti,91.0,C,L,71,185,180,84,2002-01-01,{'default': 'Whitby'},CAN,{'default': 'ON'},WPG,Cole Perfetti
8476460,https://assets.nhle.com/mugs/nhl/20242025/WPG/8476460.png,Mark,Scheifele,55.0,C,R,75,207,191,94,1993-03-15,{'default': 'Kitchener'},CAN,{'default': 'ON'},WPG,Mark Scheifele
8479972,https://assets.nhle.com/mugs/nhl/20242025/WPG/8479972.png,Mason,Shaw,23.0,C,L,70,184,178,83,1998-11-03,{'default': 'Lloydminster'},CAN,{'default': 'AB'},WPG,Mason Shaw
8479293,https://assets.nhle.com/mugs/nhl/20242025/WPG/8479293.png,Brandon,Tanev,73.0,L,L,72,189,183,86,1991-12-31,{'default': 'Toronto'},CAN,{'default': 'ON'},WPG,Brandon Tanev
8476952,https://assets.nhle.com/mugs/nhl/20242025/WPG/8476952.png,Dominic,Toninato,21.0,C,L,74,201,188,91,1994-03-09,{'default': 'Duluth'},USA,{'default': 'MN'},WPG,Dominic Toninato
8480014,https://assets.nhle.com/mugs/nhl/20242025/WPG/8480014.png,Gabriel,Vilardi,13.0,C,R,75,216,191,98,1999-08-16,{'default': 'Kingston'},CAN,{'default': 'ON'},WPG,Gabriel Vilardi
8484242,https://assets.nhle.com/mugs/nhl/20242025/WPG/8484242.png,Brayden,Yager,29.0,C,R,71,180,180,82,2005-01-03,{'default': 'Saskatoon'},CAN,{'default': 'SK'},WPG,Brayden Yager
8479639,https://assets.nhle.com/mugs/nhl/20242025/WPG/8479639.png,Dylan,Coghlan,52.0,D,R,74,208,188,94,1998-02-19,{'default': 'Duncan'},CAN,{'default': 'BC'},WPG,Dylan Coghlan
8476331,https://assets.nhle.com/mugs/nhl/20242025/WPG/8476331.png,Dylan,DeMelo,2.0,D,R,73,194,185,88,1993-05-01,"{'default': 'London', 'sk': 'Londýn'}",CAN,{'default': 'ON'},WPG,Dylan DeMelo
8477938,https://assets.nhle.com/mugs/nhl/20242025/WPG/8477938.png,Haydn,Fleury,24.0,D,L,76,207,193,94,1996-07-08,{'default': 'Carlyle'},CAN,{'default': 'SK'},WPG,Haydn Fleury
8481572,https://assets.nhle.com/mugs/nhl/20242025/WPG/8481572.png,Ville,Heinola,14.0,D,L,72,181,183,82,2001-03-02,{'default': 'Honkajoki'},FIN,,WPG,Ville Heinola
8476525,https://assets.nhle.com/mugs/nhl/20242025/WPG/8476525.png,Colin,Miller,6.0,D,R,73,200,185,91,1992-10-29,"{'default': 'Sault Ste. Marie', 'fr': 'Sault-Sainte-Marie'}",CAN,{'default': 'ON'},WPG,Colin Miller
